"filename", "language", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\animators\navSelectorAnimator.js", "JavaScript", 28, 0, 0, 4, 32
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\app\App.js", "JavaScript", 88, 0, 1, 56, 145
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\app\NavBar\NavBar.js", "JavaScript", 95, 0, 0, 16, 111
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\app\NavBar\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\app\NavBar\styles.js", "JavaScript", 40, 0, 0, 4, 44
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\clubTabs\MembersTab\MembersTab.js", "JavaScript", 33, 0, 0, 21, 54
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\clubTabs\MembersTab\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\clubTabs\MembersTab\styles.js", "JavaScript", 23, 0, 0, 2, 25
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\AddBookDialogue\AddBookDialogue.js", "JavaScript", 65, 0, 0, 20, 85
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\AddBookDialogue\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\AddBookDialogue\styles.js", "JavaScript", 13, 0, 0, 2, 15
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\BackButton\BackButton.js", "JavaScript", 14, 0, 0, 7, 21
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\BackButton\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\BackButton\styles.js", "JavaScript", 15, 0, 0, 2, 17
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\CloseButton\CloseButton.js", "JavaScript", 25, 0, 0, 5, 30
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\CloseButton\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ClubInvite\ClubInvite.js", "JavaScript", 57, 0, 0, 43, 100
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ClubInvite\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ClubInvite\styles.js", "JavaScript", 30, 0, 0, 2, 32
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ClubNav\ClubNav.js", "JavaScript", 87, 0, 0, 59, 146
"c:\Users\samho\Documents\Uni\Project\BookClubApp\src\components\ClubNav\index.js", "JavaScript", 1, 0, 0, 0, 1
